0.1, 0.1
0.1, 0.099
0.099, 0.099
0.099, 0.098
0.098, 0.098
0.098, 0.097
0.097, 0.097
0.097, 0.096
0.096, 0.096
0.096, 0.095
0.095, 0.095
0.095, 0.094
0.094, 0.094
0.094, 0.093
0.093, 0.093
0.093, 0.092
0.092, 0.092
0.092, 0.091
0.091, 0.091
0.091, 0.09
0.09, 0.09
0.09, 0.089
0.089, 0.089
0.089, 0.088
0.088, 0.088
0.088, 0.087
0.087, 0.087
0.087, 0.086
0.086, 0.086
0.086, 0.085
0.085, 0.085
0.085, 0.084
0.084, 0.084
0.084, 0.083
0.083, 0.083
0.083, 0.082
0.082, 0.082
0.082, 0.081
0.081, 0.081
0.081, 0.08
0.08, 0.08
0.08, 0.079
0.079, 0.079
0.079, 0.078
0.078, 0.078
0.078, 0.077
0.077, 0.077
0.077, 0.076
0.076, 0.076
0.076, 0.075
0.075, 0.075
0.075, 0.074
0.074, 0.074
0.074, 0.073
0.073, 0.073
0.073, 0.072
0.072, 0.072
0.072, 0.071
0.071, 0.071
0.071, 0.07
0.07, 0.07
0.07, 0.069
0.069, 0.069
0.069, 0.068
0.068, 0.068
0.068, 0.067
0.067, 0.067
0.067, 0.066
0.066, 0.066
0.066, 0.065
0.065, 0.065
0.065, 0.064
0.064, 0.064
0.064, 0.063
0.063, 0.063
0.063, 0.062
0.062, 0.062
0.062, 0.061
0.061, 0.061
0.061, 0.06
0.06, 0.06
0.06, 0.059
0.059, 0.059
0.059, 0.058
0.058, 0.058
0.058, 0.057
0.057, 0.057
0.057, 0.056
0.056, 0.056
0.056, 0.055
0.055, 0.055
0.055, 0.054
0.054, 0.054
0.054, 0.053
0.053, 0.053
0.053, 0.052
0.052, 0.052
0.052, 0.051
0.051, 0.051
0.051, 0.05
0.05, 0.05
0.05, 0.049
0.049, 0.049
0.049, 0.048
0.048, 0.048
0.048, 0.047
0.047, 0.047
0.047, 0.046
0.046, 0.046
